Date,Equipment,Plane Score,Connection Score,Rotation Score,Bat Speed (mph),Rotational Acceleration (g),On Plane Efficiency (%),Attack Angle (deg),Early Connection (deg),Connection at Impact (deg),Vertical Bat Angle (deg),Power (kW),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor
"October 9, 2018 / 3:49pm",Axe Avenge 2017,,,,69.3,,,15,,,-24,4.5,0.14,15.6,72
"October 9, 2018 / 3:49pm",Axe Avenge 2017,,,,73.7,,,17,,,-30,4.88,0.14,15.3,72
"October 9, 2018 / 3:49pm",Axe Avenge 2017,,,,66.1,,,8,,,-39,3.57,0.16,16.3,71
"October 9, 2018 / 3:49pm",Axe Avenge 2017,,,,60.9,,,5,,,-22,3.2,0.15,15.5,61
"October 9, 2018 / 3:48pm",Axe Avenge 2017,,,,57.9,,,3,,,-18,2.77,0.15,16.3,53
"October 9, 2018 / 3:48pm",Axe Avenge 2017,,,,64.2,,,7,,,-21,3.02,0.17,16.4,60
"October 9, 2018 / 3:45pm",Axe Avenge 2017,,,,63.8,,,3,,,-38,3.29,0.16,15.7,63
"October 9, 2018 / 3:45pm",Axe Avenge 2017,,,,63.1,,,4,,,-36,3.34,0.15,17.1,66
"October 9, 2018 / 3:44pm",Axe Avenge 2017,,,,62.1,,,8,,,-40,3,0.16,16.8,62
"October 9, 2018 / 3:44pm",Axe Avenge 2017,,,,60.3,,,5,,,-18,2.9,0.16,16.1,56
"October 9, 2018 / 3:44pm",Axe Avenge 2017,,,,61.6,,,7,,,-16,2.95,0.16,16.3,59
"October 9, 2018 / 3:43pm",Axe Avenge 2017,,,,64.6,,,3,,,-21,3.32,0.16,16.2,60
"October 9, 2018 / 3:40pm",Axe Avenge 2017,,,,61.2,,,7,,,-37,3.06,0.16,13.6,64
"October 9, 2018 / 3:40pm",Axe Avenge 2017,,,,63,,,14,,,-33,3.17,0.16,14.6,61
"October 9, 2018 / 3:40pm",Axe Avenge 2017,,,,61.3,,,7,,,-38,3.03,0.16,14.2,63
"October 8, 2018 / 2:22pm",Axe Avenge 2017,,,,62.7,,,19,,,-28,2.98,0.17,13.4,54
"October 8, 2018 / 2:22pm",Axe Avenge 2017,,,,60.7,,,17,,,-36,2.8,0.17,14.4,53
"October 8, 2018 / 2:22pm",Axe Avenge 2017,,,,60.9,,,13,,,-38,3.03,0.16,13.2,61
"October 8, 2018 / 2:21pm",Axe Avenge 2017,,,,63.3,,,15,,,-40,3.19,0.16,14.4,63
"October 8, 2018 / 2:21pm",Axe Avenge 2017,,,,63.2,,,17,,,-30,3.03,0.17,12.8,55
"October 8, 2018 / 2:21pm",Axe Avenge 2017,,,,65,,,22,,,-30,3.41,0.16,12.1,59
"October 8, 2018 / 2:21pm",Axe Avenge 2017,,,,64.4,,,14,,,-33,3.22,0.16,13.6,64
"October 8, 2018 / 2:21pm",Axe Avenge 2017,,,,57,,,11,,,-43,2.43,0.17,13.1,55
"October 8, 2018 / 2:17pm",Axe Avenge 2017,,,,59.3,,,15,,,-45,2.64,0.17,15.4,57
"October 8, 2018 / 2:17pm",Axe Avenge 2017,,,,67.8,,,18,,,-26,3.61,0.16,16.7,64
"October 8, 2018 / 2:17pm",Axe Avenge 2017,,,,64.9,,,19,,,-32,3.63,0.15,13.9,65
