Date,Equipment,Plane Score,Connection Score,Rotation Score,Bat Speed (mph),Rotational Acceleration (g),On Plane Efficiency (%),Attack Angle (deg),Early Connection (deg),Connection at Impact (deg),Vertical Bat Angle (deg),Power (kW),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor
"January 23, 2019 / 5:17pm",Axe Avenge 2017,,,,61.9,,,8,,,-19,4,0.12,18.9,72
"January 23, 2019 / 5:17pm",Axe Avenge 2017,,,,62.8,,,7,,,-21,4.12,0.12,18.8,71
"January 23, 2019 / 5:17pm",Axe Avenge 2017,,,,64.5,,,16,,,-17,4.14,0.13,18.4,72
"January 23, 2019 / 5:17pm",Axe Avenge 2017,,,,58.8,,,6,,,-22,3.67,0.12,16,77
"January 23, 2019 / 5:17pm",Axe Avenge 2017,,,,63.7,,,19,,,-17,3.92,0.13,17.1,65
"January 23, 2019 / 5:11pm",Axe Avenge 2017,,,,62.9,,,13,,,-17,4.07,0.12,18.6,71
"January 23, 2019 / 5:11pm",Axe Avenge 2017,,,,60.9,,,9,,,-19,4.07,0.12,16.8,79
"January 23, 2019 / 5:11pm",Axe Avenge 2017,,,,59.5,,,13,,,-14,3.7,0.12,15.4,71
"January 23, 2019 / 5:11pm",Axe Avenge 2017,,,,44.5,,,-5,,,-11,1.5,0.17,14.5,31
"January 23, 2019 / 5:11pm",Axe Avenge 2017,,,,65.1,,,11,,,-13,4.29,0.13,17.2,70
"January 23, 2019 / 5:11pm",Axe Avenge 2017,,,,60.2,,,10,,,-16,3.66,0.13,16.7,71
"January 23, 2019 / 5:11pm",Axe Avenge 2017,,,,61.7,,,19,,,-10,3.91,0.12,15.2,73
"January 23, 2019 / 5:11pm",Axe Avenge 2017,,,,57.6,,,5,,,-20,3.52,0.12,15.9,71
"January 23, 2019 / 5:10pm",Axe Avenge 2017,,,,59.9,,,9,,,-20,3.57,0.13,16.5,67
"January 23, 2019 / 5:10pm",Axe Avenge 2017,,,,64.8,,,15,,,-17,3.87,0.14,15.5,69
"January 22, 2019 / 9:27am",Axe Avenge 2017,,,,69.8,,,11,,,-31,4.77,0.13,17,78
"January 22, 2019 / 9:27am",Axe Avenge 2017,,,,63.2,,,7,,,-24,3.74,0.14,17.4,71
"January 22, 2019 / 9:27am",Axe Avenge 2017,,,,65.9,,,7,,,-27,4.33,0.13,17.1,76
"January 22, 2019 / 9:27am",Axe Avenge 2017,,,,65.1,,,2,,,-35,4.16,0.13,17.3,68
"January 22, 2019 / 9:27am",Axe Avenge 2017,,,,63.4,,,20,,,-27,3.94,0.13,15.8,67
"January 22, 2019 / 9:27am",Axe Avenge 2017,,,,68,,,5,,,-22,4.4,0.13,18.1,72
"January 22, 2019 / 9:27am",Axe Avenge 2017,,,,67.3,,,11,,,-28,4.25,0.14,17.7,74
"January 22, 2019 / 9:26am",Axe Avenge 2017,,,,63.4,,,7,,,-29,4.13,0.12,17.1,82
"January 22, 2019 / 9:26am",Axe Avenge 2017,,,,65.8,,,3,,,-27,4.12,0.13,18.7,70
"January 22, 2019 / 9:26am",Axe Avenge 2017,,,,66.4,,,7,,,-34,3.96,0.14,16.6,76
"January 22, 2019 / 9:22am",Axe Avenge 2017,,,,66.6,,,9,,,-26,4.04,0.14,16.7,72
"January 22, 2019 / 9:22am",Axe Avenge 2017,,,,67.8,,,5,,,-27,4.72,0.12,18.2,68
"January 22, 2019 / 9:22am",Axe Avenge 2017,,,,65.9,,,2,,,-37,4.26,0.13,16.7,71
"January 22, 2019 / 9:22am",Axe Avenge 2017,,,,64.3,,,9,,,-34,3.82,0.14,17.1,75
"January 22, 2019 / 9:22am",Axe Avenge 2017,,,,64.2,,,14,,,-33,3.51,0.15,15.8,70
"January 22, 2019 / 9:22am",Axe Avenge 2017,,,,60.1,,,7,,,-34,3.39,0.14,16.7,74
"January 22, 2019 / 9:22am",Axe Avenge 2017,,,,65.9,,,10,,,-36,4.01,0.14,17.1,78
"January 22, 2019 / 9:22am",Axe Avenge 2017,,,,65.6,,,7,,,-33,3.98,0.14,17.3,78
"January 22, 2019 / 9:22am",Axe Avenge 2017,,,,68.8,,,6,,,-32,4.71,0.13,19.1,79
"January 22, 2019 / 9:22am",Axe Avenge 2017,,,,64.5,,,6,,,-39,3.68,0.14,18.4,73
"January 22, 2019 / 9:19am",Axe Avenge 2017,,,,64.3,,,9,,,-17,4.62,0.11,18.6,80
"January 22, 2019 / 9:16am",Axe Avenge 2017,,,,31.6,,,-14,,,-10,0.83,0.15,15.6,40
"January 22, 2019 / 9:12am",Axe Avenge 2017,,,,61.3,,,7,,,-30,3.69,0.13,16.3,75
"January 22, 2019 / 9:12am",Axe Avenge 2017,,,,59.8,,,6,,,-34,3.31,0.14,16.4,69
"January 22, 2019 / 9:12am",Axe Avenge 2017,,,,59.9,,,8,,,-29,3.41,0.13,16.3,68
"January 22, 2019 / 9:12am",Axe Avenge 2017,,,,67.5,,,1,,,-34,4.54,0.13,19.3,72
"January 22, 2019 / 9:12am",Axe Avenge 2017,,,,70.2,,,8,,,-30,4.75,0.13,18.6,76
"January 22, 2019 / 9:12am",Axe Avenge 2017,,,,65.1,,,33,,,-12,3.75,0.14,17.4,63
"January 22, 2019 / 9:11am",Axe Avenge 2017,,,,66.7,,,-1,,,-37,4.36,0.13,18.4,72
"January 22, 2019 / 9:11am",Axe Avenge 2017,,,,67.3,,,6,,,-29,4.51,0.13,18.7,78
"January 22, 2019 / 9:11am",Axe Avenge 2017,,,,66.2,,,9,,,-35,3.93,0.14,18.8,80
"January 22, 2019 / 9:11am",Axe Avenge 2017,,,,67.8,,,6,,,-35,4.38,0.13,17.9,76
"January 22, 2019 / 9:11am",Axe Avenge 2017,,,,70.5,,,11,,,-34,4.73,0.13,18,77
"January 22, 2019 / 9:11am",Axe Avenge 2017,,,,65.2,,,11,,,-30,4.05,0.13,17.3,80
"January 22, 2019 / 9:11am",Axe Avenge 2017,,,,66.5,,,6,,,-41,4.08,0.14,18.6,79
"January 22, 2019 / 9:02am",Axe Avenge 2017,,,,72.1,,,23,,,-12,5.52,0.12,18.1,68
"January 22, 2019 / 8:59am",Axe Avenge 2017,,,,71.2,,,18,,,-10,4.82,0.13,19.4,66
"January 22, 2019 / 8:57am",Axe Avenge 2017,,,,70,,,11,,,-14,4.73,0.13,18.2,73
"January 18, 2019 / 1:17pm",Axe Avenge 2017,,,,67.6,,,19,,,-20,4.55,0.13,19.5,76
"January 18, 2019 / 1:16pm",Axe Avenge 2017,,,,77.7,,,14,,,-23,5.66,0.14,20.8,72
"January 18, 2019 / 1:16pm",Axe Avenge 2017,,,,63.9,,,10,,,-21,3.77,0.14,18.6,73
"January 18, 2019 / 1:15pm",Axe Avenge 2017,,,,61.6,,,18,,,-10,3.72,0.13,18.4,79
"January 18, 2019 / 1:15pm",Axe Avenge 2017,,,,60.8,,,20,,,-10,3.52,0.13,18.6,74
"January 18, 2019 / 1:15pm",Axe Avenge 2017,,,,61.6,,,21,,,-15,3.56,0.14,18.1,68
"January 18, 2019 / 1:15pm",Axe Avenge 2017,,,,63.3,,,15,,,-23,4.4,0.12,17.7,87
"January 18, 2019 / 1:15pm",Axe Avenge 2017,,,,62.7,,,16,,,-20,4.1,0.12,18.2,75
"January 18, 2019 / 1:14pm",Axe Avenge 2017,,,,60.4,,,13,,,-18,3.37,0.14,18.4,66
"January 18, 2019 / 1:14pm",Axe Avenge 2017,,,,66.2,,,21,,,-15,4.05,0.14,18.3,68
"January 18, 2019 / 1:14pm",Axe Avenge 2017,,,,59.9,,,4,,,-22,3.94,0.12,18.9,87
"January 18, 2019 / 1:14pm",Axe Avenge 2017,,,,62.8,,,22,,,-14,3.8,0.13,17.6,79
"January 18, 2019 / 1:14pm",Axe Avenge 2017,,,,67.7,,,12,,,-20,3.69,0.16,18.1,67
"January 18, 2019 / 1:14pm",Axe Avenge 2017,,,,64.1,,,7,,,-23,3.96,0.13,19.2,75
"January 18, 2019 / 1:13pm",Axe Avenge 2017,,,,62.1,,,3,,,-24,3.9,0.13,19.4,69
"January 18, 2019 / 1:13pm",Axe Avenge 2017,,,,60.5,,,16,,,-14,3.77,0.12,15.2,83
"January 18, 2019 / 1:07pm",Ritch,,,,72.6,,,9,,,-27,3.83,0.15,19.7,88
"January 18, 2019 / 1:07pm",Ritch,,,,73.9,,,2,,,-31,4.13,0.15,20.4,83
"January 18, 2019 / 1:07pm",Ritch,,,,74.1,,,8,,,-30,3.99,0.15,20.8,85
"January 18, 2019 / 1:07pm",Ritch,,,,66.2,,,8,,,-25,2.84,0.17,19.9,68
"January 18, 2019 / 1:06pm",Axe Avenge 2017,,,,70.9,,,6,,,-27,4.44,0.14,20.4,89
"January 18, 2019 / 1:06pm",Quick Start - Quick Start,,,,70.4,,,1,,,-33,4.21,0.15,20.1,81
"January 18, 2019 / 1:05pm",Louisville Slugger 2019 Prime,,,,60.1,,,8,,,-21,3.38,0.14,18.1,90
"January 18, 2019 / 1:05pm",Louisville Slugger 2019 Prime,,,,64.4,,,5,,,-33,4.01,0.13,20.8,94
"January 18, 2019 / 1:05pm",Louisville Slugger 2019 Prime,,,,63.3,,,6,,,-31,3.36,0.15,20,78
"January 18, 2019 / 1:04pm",Louisville Slugger 2019 Prime,,,,56.2,,,8,,,-24,3.1,0.13,18.6,84
"January 18, 2019 / 1:04pm",Louisville Slugger 2019 Prime,,,,64.1,,,13,,,-30,3.4,0.15,20.9,75
"January 18, 2019 / 1:04pm",Louisville Slugger 2019 Prime,,,,65.8,,,15,,,-32,4,0.14,20.6,91
"January 18, 2019 / 1:04pm",Louisville Slugger 2019 Prime,,,,65.2,,,10,,,-34,3.76,0.14,20.9,80
"January 18, 2019 / 1:04pm",Louisville Slugger 2019 Prime,,,,61.6,,,10,,,-37,3.61,0.13,20.7,95
"January 18, 2019 / 1:03pm",Louisville Slugger 2019 Prime,,,,64.2,,,17,,,-11,3.33,0.16,17.6,79
"January 18, 2019 / 1:03pm",Louisville Slugger 2019 Prime,,,,62.6,,,9,,,-27,3.62,0.14,20,84
"January 18, 2019 / 1:03pm",Louisville Slugger 2019 Prime,,,,62.5,,,9,,,-25,3.41,0.15,20.3,81
"January 18, 2019 / 12:49pm",Louisville Slugger 2019 Prime,,,,57.8,,,8,,,-32,3.04,0.14,19.4,88
"January 18, 2019 / 12:49pm",Louisville Slugger 2019 Prime,,,,61.5,,,-5,,,-42,3.71,0.13,20.7,82
"January 18, 2019 / 12:48pm",Louisville Slugger 2019 Prime,,,,61.9,,,9,,,-36,3.7,0.13,21.1,88
"January 18, 2019 / 12:48pm",Louisville Slugger 2019 Prime,,,,63.4,,,11,,,-35,3.61,0.14,22.3,82
"January 18, 2019 / 12:48pm",Louisville Slugger 2019 Prime,,,,62.3,,,3,,,-35,3.64,0.14,19.8,82
"January 18, 2019 / 12:48pm",Louisville Slugger 2019 Prime,,,,61,,,12,,,-40,3.25,0.15,19.3,81
"January 18, 2019 / 12:48pm",Louisville Slugger 2019 Prime,,,,64.4,,,6,,,-48,3.94,0.13,21,87
"January 18, 2019 / 12:47pm",Louisville Slugger 2019 Prime,,,,62.3,,,1,,,-37,3.87,0.13,20.1,85
"January 18, 2019 / 12:47pm",Louisville Slugger 2019 Prime,,,,62.2,,,8,,,-39,3.79,0.13,19.5,91
"January 18, 2019 / 12:47pm",Louisville Slugger 2019 Prime,,,,63.6,,,4,,,-46,3.9,0.13,20.7,84
"January 18, 2019 / 12:47pm",Louisville Slugger 2019 Prime,,,,64.5,,,10,,,-40,3.79,0.14,20.6,81
"January 18, 2019 / 12:47pm",Louisville Slugger 2019 Prime,,,,58.8,,,12,,,-50,2.65,0.17,19.3,68
"January 18, 2019 / 12:37pm",Louisville Slugger 2019 Prime,,,,62.5,,,8,,,-40,3.72,0.13,21.1,96
"January 18, 2019 / 12:37pm",Louisville Slugger 2019 Prime,,,,65.9,,,12,,,-41,4.01,0.14,21.4,83
"January 18, 2019 / 12:37pm",Louisville Slugger 2019 Prime,,,,65.8,,,5,,,-43,4.31,0.13,21.8,91
"January 18, 2019 / 12:37pm",Louisville Slugger 2019 Prime,,,,62.5,,,6,,,-43,3.66,0.14,20.8,88
"January 18, 2019 / 12:36pm",Louisville Slugger 2019 Prime,,,,63.2,,,8,,,-40,3.69,0.14,21.8,81
"January 18, 2019 / 12:36pm",Louisville Slugger 2019 Prime,,,,62.3,,,8,,,-36,3.99,0.12,21,99
"January 18, 2019 / 12:36pm",Louisville Slugger 2019 Prime,,,,60.4,,,20,,,-30,3.32,0.14,19.3,80
"January 18, 2019 / 12:36pm",Louisville Slugger 2019 Prime,,,,66.8,,,12,,,-35,4.18,0.14,21.1,84
"January 18, 2019 / 12:35pm",Louisville Slugger 2019 Prime,,,,65.7,,,7,,,-35,4.17,0.13,21.3,87
"January 18, 2019 / 12:35pm",Louisville Slugger 2019 Prime,,,,60.4,,,14,,,-31,3.14,0.15,16.9,80
"January 18, 2019 / 12:35pm",Louisville Slugger 2019 Prime,,,,65.1,,,9,,,-26,4.21,0.13,20.1,89
"January 18, 2019 / 12:34pm",Louisville Slugger 2019 Prime,,,,65.8,,,6,,,-37,4.11,0.13,20.4,80
"January 18, 2019 / 12:34pm",Louisville Slugger 2019 Prime,,,,55.1,,,1,,,-17,3.02,0.13,17.5,76
"January 17, 2019 / 6:18pm",Louisville Slugger 2019 Prime,,,,67.3,,,11,,,-35,4.19,0.14,22.1,79
"January 17, 2019 / 6:17pm",Louisville Slugger 2019 Prime,,,,63.5,,,9,,,-35,3.78,0.14,21.9,88
"January 17, 2019 / 6:17pm",Louisville Slugger 2019 Prime,,,,64.3,,,7,,,-37,3.82,0.14,20.8,84
"January 17, 2019 / 6:17pm",Louisville Slugger 2019 Prime,,,,62.2,,,8,,,-42,3.53,0.14,20.1,88
"January 17, 2019 / 6:17pm",Louisville Slugger 2019 Prime,,,,62.7,,,12,,,-32,3.26,0.15,19.3,69
"January 17, 2019 / 6:16pm",Louisville Slugger 2019 Prime,,,,57.1,,,9,,,-28,2.89,0.14,17.6,73
"January 17, 2019 / 6:16pm",Louisville Slugger 2019 Prime,,,,58.5,,,20,,,-24,3.03,0.14,16.4,74
"January 17, 2019 / 6:16pm",Louisville Slugger 2019 Prime,,,,63.8,,,8,,,-37,4,0.13,20.4,90
"January 17, 2019 / 6:16pm",Louisville Slugger 2019 Prime,,,,66.8,,,8,,,-34,4.12,0.14,21.4,83
"January 17, 2019 / 6:16pm",Louisville Slugger 2019 Prime,,,,62.9,,,2,,,-33,4,0.13,21.2,90
"January 17, 2019 / 6:16pm",Louisville Slugger 2019 Prime,,,,65.8,,,8,,,-33,4,0.14,22.3,79
"January 17, 2019 / 6:15pm",Louisville Slugger 2019 Prime,,,,64.7,,,11,,,-42,3.76,0.14,20.3,87
"January 17, 2019 / 6:15pm",Louisville Slugger 2019 Prime,,,,65.9,,,17,,,-28,3.8,0.15,21.3,84
"January 17, 2019 / 6:15pm",Louisville Slugger 2019 Prime,,,,62.1,,,4,,,-36,3.72,0.13,20.6,94
"January 17, 2019 / 6:15pm",Louisville Slugger 2019 Prime,,,,65.9,,,7,,,-30,4.01,0.14,20.8,89
"January 17, 2019 / 6:15pm",Louisville Slugger 2019 Prime,,,,64.1,,,12,,,-34,3.96,0.13,21.5,85
"January 17, 2019 / 6:09pm",Louisville Slugger 2019 Prime,,,,63.6,,,3,,,-36,4.03,0.13,19.5,90
"January 17, 2019 / 6:09pm",Louisville Slugger 2019 Prime,,,,65.9,,,5,,,-36,4.13,0.13,21.2,89
"January 17, 2019 / 6:08pm",Louisville Slugger 2019 Prime,,,,61.5,,,20,,,-31,3.49,0.14,18,80
"January 17, 2019 / 6:08pm",Louisville Slugger 2019 Prime,,,,60.8,,,21,,,-31,3.37,0.14,18.3,73
"January 17, 2019 / 6:07pm",Louisville Slugger 2019 Prime,,,,64,,,2,,,-37,4.14,0.13,21.1,87
"January 17, 2019 / 6:07pm",Louisville Slugger 2019 Prime,,,,66.1,,,7,,,-25,4.09,0.14,21.2,90
"January 17, 2019 / 6:07pm",Louisville Slugger 2019 Prime,,,,65.5,,,7,,,-34,3.96,0.14,22.1,85
"January 17, 2019 / 6:07pm",Louisville Slugger 2019 Prime,,,,38.5,,,-15,,,-43,1.14,0.17,16,40
"January 17, 2019 / 6:07pm",Louisville Slugger 2019 Prime,,,,64.5,,,5,,,-38,3.96,0.13,20.7,85
"January 17, 2019 / 6:07pm",Louisville Slugger 2019 Prime,,,,68.3,,,7,,,-44,4.31,0.14,23.7,84
"January 17, 2019 / 6:06pm",Louisville Slugger 2019 Prime,,,,65.6,,,5,,,-28,4.09,0.13,21.1,87
"January 17, 2019 / 6:06pm",Louisville Slugger 2019 Prime,,,,62.4,,,5,,,-29,3.76,0.13,20.7,86
"January 17, 2019 / 6:06pm",Louisville Slugger 2019 Prime,,,,66.8,,,8,,,-43,4,0.14,21.6,83
"January 17, 2019 / 6:06pm",Louisville Slugger 2019 Prime,,,,59.1,,,19,,,-20,2.89,0.15,15.9,72
"January 17, 2019 / 6:06pm",Louisville Slugger 2019 Prime,,,,61.1,,,7,,,-34,3.6,0.13,18.6,88
"January 17, 2019 / 6:05pm",Louisville Slugger 2019 Prime,,,,62.4,,,1,,,-34,3.87,0.13,20.9,91
"January 17, 2019 / 6:05pm",Louisville Slugger 2019 Prime,,,,57.4,,,20,,,-28,2.41,0.17,18.4,57
"January 17, 2019 / 5:58pm",Louisville Slugger 2019 Prime,,,,67.6,,,11,,,-32,4.16,0.14,21.6,86
"January 17, 2019 / 5:58pm",Louisville Slugger 2019 Prime,,,,63.2,,,12,,,-44,3.23,0.16,18.4,70
"January 17, 2019 / 5:57pm",Louisville Slugger 2019 Prime,,,,65.5,,,-1,,,-46,4.21,0.13,21,80
"January 17, 2019 / 5:57pm",Louisville Slugger 2019 Prime,,,,65.7,,,13,,,-36,3.77,0.15,21.8,79
"January 17, 2019 / 5:57pm",Louisville Slugger 2019 Prime,,,,64.9,,,4,,,-41,4.13,0.13,21.3,91
"January 17, 2019 / 5:57pm",Louisville Slugger 2019 Prime,,,,64.6,,,14,,,-36,3.41,0.16,21.7,71
"January 17, 2019 / 5:57pm",Louisville Slugger 2019 Prime,,,,67.3,,,6,,,-34,4.31,0.13,21.1,90
"January 17, 2019 / 5:57pm",Louisville Slugger 2019 Prime,,,,62.5,,,12,,,-29,3.46,0.14,20.4,84
"January 17, 2019 / 5:57pm",Louisville Slugger 2019 Prime,,,,60.7,,,14,,,-37,3.35,0.14,19.1,83
"January 17, 2019 / 5:56pm",Louisville Slugger 2019 Prime,,,,66.7,,,2,,,-35,4.17,0.14,20.7,76
"January 17, 2019 / 5:56pm",Louisville Slugger 2019 Prime,,,,67.2,,,2,,,-34,4.5,0.13,21,82
"January 17, 2019 / 5:56pm",Louisville Slugger 2019 Prime,,,,67.7,,,6,,,-34,4.18,0.14,22.9,85
"January 17, 2019 / 5:56pm",Louisville Slugger 2019 Prime,,,,66.6,,,8,,,-36,4.21,0.13,22.1,90
"January 17, 2019 / 5:56pm",Louisville Slugger 2019 Prime,,,,60,,,11,,,-29,3.32,0.14,19.7,82
"January 17, 2019 / 5:56pm",Louisville Slugger 2019 Prime,,,,66.2,,,6,,,-38,4.05,0.14,20.8,81
"January 17, 2019 / 5:56pm",Louisville Slugger 2019 Prime,,,,65.5,,,15,,,-25,3.42,0.16,20.2,72
"January 17, 2019 / 5:51pm",Louisville Slugger 2019 Prime,,,,63.2,,,10,,,-45,3.49,0.15,21.1,76
"January 17, 2019 / 5:51pm",Louisville Slugger 2019 Prime,,,,66.9,,,14,,,-33,4.02,0.14,20.4,82
"January 17, 2019 / 5:51pm",Louisville Slugger 2019 Prime,,,,65.1,,,3,,,-38,4.16,0.13,21.3,91
"January 17, 2019 / 5:51pm",Louisville Slugger 2019 Prime,,,,59.7,,,9,,,-46,3.39,0.13,20.1,88
"January 17, 2019 / 5:51pm",Louisville Slugger 2019 Prime,,,,62.4,,,8,,,-44,3.71,0.13,18.8,81
"January 17, 2019 / 5:51pm",Louisville Slugger 2019 Prime,,,,62,,,7,,,-39,3.5,0.14,18.8,82
"January 17, 2019 / 5:51pm",Louisville Slugger 2019 Prime,,,,63.3,,,5,,,-45,3.7,0.14,19.4,85
"January 17, 2019 / 5:50pm",Louisville Slugger 2019 Prime,,,,60.6,,,24,,,-25,2.69,0.17,18.2,57
"January 17, 2019 / 5:50pm",Louisville Slugger 2019 Prime,,,,59.5,,,12,,,-28,3.42,0.13,18.3,85
"January 17, 2019 / 5:50pm",Louisville Slugger 2019 Prime,,,,63,,,8,,,-38,3.73,0.14,20,87
"January 17, 2019 / 5:50pm",Louisville Slugger 2019 Prime,,,,63.9,,,11,,,-38,3.56,0.15,19.7,81
"January 17, 2019 / 5:50pm",Louisville Slugger 2019 Prime,,,,61.9,,,11,,,-43,3.49,0.14,18.9,86
"January 17, 2019 / 5:50pm",Louisville Slugger 2019 Prime,,,,64.4,,,2,,,-38,4,0.13,20.5,87
"January 17, 2019 / 5:49pm",Louisville Slugger 2019 Prime,,,,63.1,,,18,,,-17,3.48,0.15,18.8,79
"January 17, 2019 / 5:49pm",Louisville Slugger 2019 Prime,,,,62.5,,,13,,,-24,3.55,0.14,19.1,86
"January 16, 2019 / 1:50pm",Axe Avenge 2017,,,,61.5,,,6,,,-35,3.55,0.14,17.8,74
"January 16, 2019 / 1:50pm",Axe Avenge 2017,,,,59.6,,,6,,,-26,3.44,0.13,17.8,74
"January 16, 2019 / 1:50pm",Axe Avenge 2017,,,,61.1,,,2,,,-37,3.72,0.13,19.6,74
"January 16, 2019 / 1:50pm",Axe Avenge 2017,,,,62.2,,,-2,,,-36,3.85,0.13,18.2,69
"January 16, 2019 / 1:50pm",Axe Avenge 2017,,,,57.5,,,6,,,-41,3.06,0.14,17,77
"January 16, 2019 / 1:45pm",Axe Avenge 2017,,,,67.3,,,7,,,-30,4.44,0.13,16.1,74
"January 16, 2019 / 1:44pm",Axe Avenge 2017,,,,62.3,,,11,,,-23,3.99,0.12,16.1,79
"January 16, 2019 / 1:44pm",Axe Avenge 2017,,,,62.8,,,7,,,-24,3.65,0.14,17.4,74
"January 16, 2019 / 1:44pm",Axe Avenge 2017,,,,64.9,,,5,,,-33,4.13,0.13,18.1,77
"January 16, 2019 / 1:44pm",Axe Avenge 2017,,,,62.6,,,6,,,-27,3.97,0.13,15.9,80
"January 16, 2019 / 1:44pm",Axe Avenge 2017,,,,61.8,,,-3,,,-32,4.06,0.12,16.1,73
"January 16, 2019 / 1:44pm",Axe Avenge 2017,,,,58.9,,,-1,,,-29,3.57,0.12,15.7,72
"January 16, 2019 / 1:44pm",Axe Avenge 2017,,,,60.9,,,7,,,-26,3.75,0.13,16.9,81
"January 16, 2019 / 1:44pm",Axe Avenge 2017,,,,62.9,,,6,,,-23,4.13,0.12,16.9,80
"January 16, 2019 / 1:44pm",Axe Avenge 2017,,,,56.5,,,5,,,-32,3.08,0.13,17.1,82
"January 16, 2019 / 1:44pm",Axe Avenge 2017,,,,65.8,,,6,,,-32,4.31,0.13,17,77
"January 16, 2019 / 1:43pm",Axe Avenge 2017,,,,61.9,,,1,,,-26,3.75,0.13,19.2,77
"January 16, 2019 / 1:43pm",Axe Avenge 2017,,,,63,,,6,,,-33,3.89,0.13,18,79
"January 15, 2019 / 2:47pm",Axe Avenge 2017,,,,59.4,,,8,,,-5,3.95,0.11,17.2,85
"January 15, 2019 / 2:46pm",Axe Avenge 2017,,,,63.6,,,12,,,-4,3.97,0.13,17.3,73
"January 15, 2019 / 2:46pm",Axe Avenge 2017,,,,64.9,,,11,,,-1,4.07,0.13,16.8,71
"January 15, 2019 / 2:46pm",Axe Avenge 2017,,,,62.5,,,19,,,5,3.96,0.13,17.6,65
"January 15, 2019 / 2:46pm",Axe Avenge 2017,,,,61.8,,,8,,,-4,4.06,0.12,17.3,77
"January 15, 2019 / 2:46pm",Axe Avenge 2017,,,,62.3,,,3,,,-9,4.12,0.12,17.6,72
"January 15, 2019 / 2:46pm",Axe Avenge 2017,,,,61.4,,,8,,,-5,3.93,0.12,16.8,77
"January 15, 2019 / 2:46pm",Axe Avenge 2017,,,,59.4,,,7,,,-11,3.88,0.12,16,77
"January 15, 2019 / 2:46pm",Axe Avenge 2017,,,,58.7,,,4,,,-13,3.92,0.11,16,75
"January 15, 2019 / 2:46pm",Axe Avenge 2017,,,,50.3,,,0,,,-10,2.82,0.11,16.6,66
"January 15, 2019 / 2:37pm",Axe Avenge 2017,,,,61.1,,,13,,,-11,3.66,0.13,17.9,68
"January 15, 2019 / 2:37pm",Axe Avenge 2017,,,,60.1,,,5,,,-17,3.71,0.12,17.2,68
"January 15, 2019 / 2:37pm",Axe Avenge 2017,,,,79.4,,,18,,,-9,6.69,0.12,18.5,68
"January 15, 2019 / 2:36pm",Axe Avenge 2017,,,,64.8,,,16,,,-9,3.83,0.14,18,66
"January 15, 2019 / 2:36pm",Axe Avenge 2017,,,,62.9,,,15,,,-2,4.14,0.12,17,71
"January 15, 2019 / 2:36pm",Axe Avenge 2017,,,,64.1,,,15,,,-8,3.9,0.13,17.9,69
"January 15, 2019 / 2:36pm",Axe Avenge 2017,,,,60.9,,,17,,,-7,3.87,0.12,17.6,67
"January 15, 2019 / 2:36pm",Axe Avenge 2017,,,,63.2,,,15,,,-3,4.32,0.12,17,70
"January 15, 2019 / 2:36pm",Axe Avenge 2017,,,,64.6,,,15,,,-6,4.22,0.13,17.3,75
"January 15, 2019 / 2:35pm",Axe Avenge 2017,,,,65.7,,,15,,,1,4.04,0.14,17.2,70
"January 15, 2019 / 2:35pm",Axe Avenge 2017,,,,61.3,,,5,,,-9,3.99,0.12,16.7,77
"January 15, 2019 / 2:35pm",Axe Avenge 2017,,,,61.3,,,6,,,-12,4.36,0.11,17.7,83
"January 15, 2019 / 2:30pm",Axe Avenge 2017,,,,82.9,,,17,,,-1,7.43,0.12,18.7,69
"January 15, 2019 / 2:30pm",Axe Avenge 2017,,,,68.1,,,12,,,-8,5.1,0.12,18.7,74
"January 15, 2019 / 2:30pm",Axe Avenge 2017,,,,62.4,,,0,,,-14,4.35,0.11,17.9,74
"January 15, 2019 / 2:30pm",Axe Avenge 2017,,,,75.9,,,16,,,-7,6.11,0.12,18.2,69
"January 15, 2019 / 2:29pm",Axe Avenge 2017,,,,63.8,,,0,,,-5,4.11,0.13,17.3,69
"January 15, 2019 / 2:29pm",Axe Avenge 2017,,,,68.7,,,12,,,-8,5.01,0.12,17.4,77
"January 15, 2019 / 2:29pm",Axe Avenge 2017,,,,68.1,,,14,,,-6,4.61,0.13,18,74
"January 15, 2019 / 2:29pm",Axe Avenge 2017,,,,66.9,,,9,,,-14,4.6,0.12,18.4,75
"January 15, 2019 / 2:29pm",Axe Avenge 2017,,,,69.2,,,11,,,-11,5.01,0.12,18.5,73
"January 15, 2019 / 2:29pm",Axe Avenge 2017,,,,43,,,-13,,,-14,1.59,0.15,15.2,52
"January 15, 2019 / 2:29pm",Axe Avenge 2017,,,,69.9,,,17,,,-11,4.95,0.13,16.5,71
"January 15, 2019 / 2:29pm",Axe Avenge 2017,,,,67.3,,,4,,,-17,4.51,0.13,17.6,75
"January 15, 2019 / 2:29pm",Axe Avenge 2017,,,,71.7,,,8,,,-25,6.18,0.11,18.2,77
"January 15, 2019 / 2:26pm",Axe Avenge 2017,,,,65.8,,,22,,,-5,4.31,0.13,17,77
"January 15, 2019 / 2:25pm",Axe Avenge 2017,,,,58.4,,,8,,,-14,3.69,0.12,17.3,83
"January 15, 2019 / 2:25pm",Axe Avenge 2017,,,,60.1,,,21,,,-9,3.71,0.12,16.8,71
"January 15, 2019 / 2:25pm",Axe Avenge 2017,,,,65.8,,,25,,,-3,4.06,0.14,17.3,64
